State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AGRA,AGRA,22,20,8960,1574,6946,481,3704,5130,168,164,213,8625,41,12,8948,8647,355,7516,1486,2464,6507,4033,4956,7541,1446,3055,5946,7224,1768
ALIGARH,ALIGARH,3,318,5679,23,2517,3460,69,1553,4378,19,317,5664,1912,7,4081,5755,245,28,5972,399,5600,1803,4182,5760,238,5567,431,541,5459
AMBEDKAR NAGAR,AMBEDKAR NAGAR,1,1,5400,101,2991,2310,6,5103,293,14,27,5361,9,1,5392,5402,0,2737,2665,4694,708,5083,319,4984,418,3071,2331,5018,384
Amethi,Amethi,34,26,7740,1497,4139,2164,588,4901,2311,331,1233,6236,589,58,7151,7736,62,2687,5113,4868,2932,3913,3885,7336,462,3484,4313,5654,2146
AMROHA,AMROHA,4,1,2995,284,2001,715,12,2306,682,10,593,2397,6,2,2987,2978,22,2689,311,1997,1003,2183,817,2805,195,2975,24,2464,536
AURAIYA,AURAIYA,18,0,4182,1352,2830,18,15,4035,150,4,114,4082,7,2,4190,4185,15,3881,319,3296,904,3109,1090,3946,253,2248,1952,3506,694
AYODHYA,AYODHYA,10,267,6323,875,3181,2533,35,5039,1527,34,202,6365,16,7,6577,6483,118,2481,4120,262,6307,1903,4691,5893,705,2640,3960,2013,4587
AZAMGARH,AZAMGARH,2,8,13190,2035,7162,4003,53,12704,443,3,6,13191,17,4,13178,13171,28,2405,10795,7993,5207,4582,8618,13180,19,10901,2299,13087,113
BAGHPAT,BAGHPAT,5,172,2823,456,1321,1223,95,2485,420,6,190,2804,1,0,2999,3000,0,2233,767,2304,696,2277,723,2887,113,2759,241,2978,22
BAHRAICH,BAHRAICH,3,0,8397,55,7518,827,6,7655,739,6,557,7837,3,1,8396,8395,5,5846,2554,8369,31,8120,280,8087,312,418,7982,8085,315
BALLIA,BALLIA,2,0,10198,3546,4338,2316,3,9774,423,8,499,9693,8,3,10189,10131,69,3703,6497,7585,2615,4737,5462,10198,2,9570,630,10180,20
BALRAMPUR,BALRAMPUR,2,2,5396,774,3505,1120,7,4604,789,164,574,4662,46,2,5352,5388,12,4265,1131,3568,1832,362,5037,4245,1153,179,5221,3827,1572
