Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
1,Seed Dealers,Kanpur City,Kalyanpur,ABHISHEK AGRO AGENCY,,81/79 DHAN KUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
2,Seed Dealers,Kanpur City,Kalyanpur,ADVEY KRISAK SANGH KHAD AND BEEJ BHANDAR,,NAUBASTA BLOCK KALYANPUR,For Free Alerts
3,Seed Dealers,Kanpur City,Kalyanpur,AMAN KUMAR,,NAWAB GANJ KANPUR BLOCK KALYANPUR,For Free Alerts
4,Seed Dealers,Kanpur City,Kalyanpur,ANAND BEEJ BHANDAR,,SACHENDI KANPUR BLOCK KALYANPUR,For Free Alerts
5,Seed Dealers,Kanpur City,Kalyanpur,ANANNT ENTERPRISES,,SHOP NO 16 NAVSHEEL DHAM KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
6,Seed Dealers,Kanpur City,Kalyanpur,ANKUR SEEDS,,SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
7,Seed Dealers,Kanpur City,Kalyanpur,ANKUR SEEDS FARM,,KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
8,Seed Dealers,Kanpur City,Kalyanpur,ANMOL KRISHI SEWA KENDRA,,NAWAB GANJ KANPUR BLOCK KALYANPUR,For Free Alerts
9,Seed Dealers,Kanpur City,Kalyanpur,ANNADESHWAR AGRO AGENCY,,DHANKUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
10,Seed Dealers,Kanpur City,Kalyanpur,ANNPURANA SEEDS COMPANY,,DHAN KUTTI KANPUR BLOCK KALYAN PUR,For Free Alerts
11,Seed Dealers,Kanpur City,Kalyanpur,APARNA KISHAN SEWA KENDRA,,KISHAN NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
12,Seed Dealers,Kanpur City,Kalyanpur,ARJUN KRISHI SEWA KENDRA,,KISHAN NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
13,Seed Dealers,Kanpur City,Kalyanpur,ASHOK SEEDS,,75/213 SABJIMANDI KANPUR BLOCK KALYANPUR,For Free Alerts
14,Seed Dealers,Kanpur City,Kalyanpur,AWANTIKA BEEJ BHANDAR,,GRAM TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
15,Seed Dealers,Kanpur City,Kalyanpur,AWASTHI SEED PVT LTD,,108 B POKHAR PURWA KANPUR BLOCK KALYANPUR,For Free Alerts
16,Seed Dealers,Kanpur City,Kalyanpur,CHOLA HYBRID SEEDS CO,,SHAKKAR PATTI KANPUR NAGAR BLOCK KALYANPUR,For Free Alerts
