Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
1,Seed Dealers,Mirzapur,Nagar City,AJAY KUMAR AND COMPANY,,JANGI ROAD,For Free Alerts
2,Seed Dealers,Mirzapur,Nagar City,ARCHANA CROP SEEDS,,MAHUARIA,For Free Alerts
3,Seed Dealers,Mirzapur,Nagar City,BHAGWAN BIJ BHANDAR,,SAMOGARA,For Free Alerts
4,Seed Dealers,Mirzapur,Nagar City,BIND BIJ BHANDAR,,MIRZAPUR,For Free Alerts
5,Seed Dealers,Mirzapur,Nagar City,CEMENT AND FERTILIZER,,MIRZAPUR,For Free Alerts
6,Seed Dealers,Mirzapur,Nagar City,CHANDAN BIJ BHANDAR,,BISUNDARPUR,For Free Alerts
7,Seed Dealers,Mirzapur,Nagar City,GANGA AGRI BUSINESS CENTER,,MIRZAPUR,For Free Alerts
8,Seed Dealers,Mirzapur,Nagar City,GANGA BIJ COMPANY,,SHUKLAHA,For Free Alerts
9,Seed Dealers,Mirzapur,Nagar City,GANGA TRADERS,,MAHUARIA,For Free Alerts
10,Seed Dealers,Mirzapur,Nagar City,GAUND BIJ BHANDAR,,SADAR,For Free Alerts
11,Seed Dealers,Mirzapur,Nagar City,HARIYANA SEEDS FARM,,CHAUKIYA,For Free Alerts
12,Seed Dealers,Mirzapur,Nagar City,HARIYANA SEEDS FARM,,BAHADURPUR,For Free Alerts
13,Seed Dealers,Mirzapur,Nagar City,KAILASH GANGA BIJ BHANDAR,,MIRZAPUR,For Free Alerts
14,Seed Dealers,Mirzapur,Nagar City,KAUSHAL KHAD BHANDAR,,DANKEENGANJ,For Free Alerts
15,Seed Dealers,Mirzapur,Nagar City,KISAN BIJ COMPANY,,GURSANDI,For Free Alerts
16,Seed Dealers,Mirzapur,Nagar City,KRISH BIJ BHANDAR,,MIRZAPUR,For Free Alerts
17,Seed Dealers,Mirzapur,Nagar City,KRISHAK SEWA KENDRA,,AKSAULI PAIDAPUR,For Free Alerts
18,Seed Dealers,Mirzapur,Nagar City,KRISHI RAKSHA KENDRA,,SHUKLAHA,For Free Alerts
19,Seed Dealers,Mirzapur,Nagar City,KUSHWAHA BRIJ BHANDAR,,MAHUARIA,For Free Alerts
20,Seed Dealers,Mirzapur,Nagar City,LUCKY KHAD EVAM BIJ BHANDAR,,JIUTI,For Free Alerts
21,Seed Dealers,Mirzapur,Nagar City,MARUTI CHEMICALS,,PAKKI SARAI,For Free Alerts
22,Seed Dealers,Mirzapur,Nagar City,MAURYA BIJ BHANDAR,,MUHKUCHWA,For Free Alerts
23,Seed Dealers,Mirzapur,Nagar City,MINTU BIJ BHANDAR,,JAMUNAHIA BISUNDAR,For Free Alerts
24,Seed Dealers,Mirzapur,Nagar City,MISHRA BIJ BHANDAR,,MIRZAPUR,For Free Alerts
25,Seed Dealers,Mirzapur,Nagar City,Maurya Bij Bhandar,,Mirzapur,For Free Alerts
26,Seed Dealers,Mirzapur,Nagar City,PANDEY BIJ BHANDAR,,MIRZAPUR,For Free Alerts
27,Seed Dealers,Mirzapur,Nagar City,PANDEY KHAD BIJ BHANDAR,,DEWARI,For Free Alerts
28,Seed Dealers,Mirzapur,Nagar City,PARASMANI SEEDS PVT. LTD.,,KUSHWAHA NAGAR,For Free Alerts
29,Seed Dealers,Mirzapur,Nagar City,PAWAN CHEMICALS KHAD BHANDAR,,BIROHI,For Free Alerts
30,Seed Dealers,Mirzapur,Nagar City,PAWAN CHEMICALS KHAD BHANDAR,,BIROHI,For Free Alerts
31,Seed Dealers,Mirzapur,Nagar City,PESTI SEEDS AND COMPANY,,MAHUARIA,For Free Alerts
32,Seed Dealers,Mirzapur,Nagar City,PRASAD BIJ BHANDAR,,VINDHYA COLONY BHARUHANA,For Free Alerts
33,Seed Dealers,Mirzapur,Nagar City,RAJ SEEDS COMPANY,,KUSHWAHA NAGAR,For Free Alerts
34,Seed Dealers,Mirzapur,Nagar City,SABJI BIJ BHANDAR,,KUSHWAHA NAGAR,For Free Alerts
35,Seed Dealers,Mirzapur,Nagar City,SAI KHAD BHANDAR,,AKODHI,For Free Alerts
36,Seed Dealers,Mirzapur,Nagar City,SHRI KRISHI BIJ BHANDAR,,PAHARI,For Free Alerts
37,Seed Dealers,Mirzapur,Nagar City,SWASTIK SEEDS BHANDAR,,PAHARI,For Free Alerts
38,Seed Dealers,Mirzapur,Nagar City,THE MIRZAPUR SEEDS COMOPANY,,MAHUARIA,For Free Alerts
39,Seed Dealers,Mirzapur,Nagar City,VINDHYAWASINI BIJ BHANDAR,,MIRZAPUR,For Free Alerts
40,Seed Dealers,Mirzapur,Nagar City,VIPUL AGRO,,SHUKLAHA,For Free Alerts
41,Seed Dealers,Mirzapur,Nagar City,YADAV BIJ BHANDAR,,MAHUARIA,For Free Alerts
