Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
1,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms Ridhi Agro India,,Plot No 15 Jankivihar Colony Jankipuram,For Free Alerts
2,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms Utkarsh Seeds,,660 14 A Foolbagh Colony Kursi Road,For Free Alerts
3,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms Walnet Seeds Company,,Dr Rajendranagar Godam Shivbalak Maurya Ka Godown Madiyaw Tiraha,For Free Alerts
4,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. AAZAD KRISHI KENDRA,,MADHAVPUR,For Free Alerts
5,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. CHAUHAN BEEJ BHANDAR,,MAMPUR VANA,For Free Alerts
6,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. GARG SEED STORE,,CHANDRIKA DEVI MORE,For Free Alerts
7,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. HARSHIT BEEJ BHANDAR,,INDARA,For Free Alerts
8,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. I.F. F.F.D.C. KENDRA,,CHATAMEEL,For Free Alerts
9,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. KUMHARAWAN KRISHI VANIKI SAHAYAK SAMITI LTD.,,KUMHARAWAN,For Free Alerts
10,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. MAA LALITE AGRI AGENCY,,ASTI ROAD,For Free Alerts
11,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. MANOJ TRADERS,,ITAUNJA,For Free Alerts
12,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. MAURYA BEEJ BHANDAR,,BAKSHI KA TALAB,For Free Alerts
13,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. MAURYA KRISHI SEVA KENDRA,,ARJUNPUR,For Free Alerts
14,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. MAYA KRISHI SEVA KENDRA,,BEHATA,For Free Alerts
15,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. MISHRA BEEJ AND KHAD BHANDAR,,KUMHARAWAN,For Free Alerts
16,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. P.C.F. KENDRA,,DAULATPUR,For Free Alerts
17,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. P.C.F. KENDRA,,KUMHARAWAN,For Free Alerts
18,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. P.C.F. KENDRA,,BSAWANPURVA,For Free Alerts
19,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. PAL KHAD AND BEEJ BHANDAR,,KALYANPUR,For Free Alerts
20,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. PLAT AGRO HYBRID SEEDS,,SARIYA,For Free Alerts
21,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. SAVITRI DEVI KHAD AND BEEJ BHANDAR,,KAMALABAD,For Free Alerts
22,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. SUMAN ENTERPRISES,,ITAUNJA,For Free Alerts
23,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. TANYA BEEJ BHANDAR,,CHATAMEEL,For Free Alerts
24,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. TIWARI BEEJ BHANDAR,,ITAUNJA,For Free Alerts
25,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. VIJAY BEEJ BHANDAR,,BEHATA BAZAR,For Free Alerts
26,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms. YADAV KHAD BHANDAR,,PALIA,For Free Alerts
27,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms.SRIDHAR KHAD AND BEEJ BHANDAR,,BEHRA CHAKKI,For Free Alerts
28,Seed Dealers,Lucknow,Bakshi-Ka-Talab,Ms.Sri SOOD SEEDS,,KAMALPUR SIRSA DEVARI RUKHARA,For Free Alerts
29,Seed Dealers,Lucknow,Bakshi-Ka-Talab,RAMESH BEEJ BHANDAR,,MANPUR RAJA,For Free Alerts
1,Seed Dealers,Lucknow,Chinhat,CHANDRA SEED CORPORATION,,JAISWAL MARKET NEAR UMRAO SINGN DHARM SALA,For Free Alerts
2,Seed Dealers,Lucknow,Chinhat,MS CHANDRA SEED STORE,,622 SADAR BAZAR LKO,For Free Alerts
3,Seed Dealers,Lucknow,Chinhat,MS. AADI SEEDS CORPORATION,,18/538 INDIRA NAGAR,For Free Alerts
4,Seed Dealers,Lucknow,Chinhat,MS. ABHINAV SEEDS CORPORATION,,S-A L.D.A. MARKET ALAMBAGH,For Free Alerts
5,Seed Dealers,Lucknow,Chinhat,MS. ADVANCE BIOCARE INPUTS,,A-29 SECTOR-J RAILNAGAR AASHIYANA,For Free Alerts
6,Seed Dealers,Lucknow,Chinhat,MS. ADVANCE BIOSEED COMPANY,,498/20 FAIZABAD ROAD DALIGANJ,For Free Alerts
7,Seed Dealers,Lucknow,Chinhat,MS. AISH AGRO DEVELOPERS,,B-22 JEVAN SAHARA TOWER KURSI ROAD,For Free Alerts
8,Seed Dealers,Lucknow,Chinhat,MS. GANPATI SEEDS COMPANY PVT. LTD.,,DALIGANJ FAIZABAD ROAD,For Free Alerts
9,Seed Dealers,Lucknow,Chinhat,MS. GO GREEN AGROTECH,,590-4/7 HAIVATMAU NEAR O.P.DENTAL COLLEGE RAIBARALI ROAD,For Free Alerts
10,Seed Dealers,Lucknow,Chinhat,MS. GOMATI AGRO AGENCY,,DALIGANJ,For Free Alerts
11,Seed Dealers,Lucknow,Chinhat,MS. GOMATI AGRO INPUTS PVT. LTD.,,GOKARANNATH CHAURAHA DALIGANJ,For Free Alerts
12,Seed Dealers,Lucknow,Chinhat,MS. GUPTA BEEJ BHANDAR,,439/100 THAKURGANJ,For Free Alerts
13,Seed Dealers,Lucknow,Chinhat,MS. GUPTA BEEJ BHANDAR,,ALAMBAGH,For Free Alerts
14,Seed Dealers,Lucknow,Chinhat,MS. HINDUSTAN SEEDS,,DALIGANJ FAIZABAD ROAD,For Free Alerts
15,Seed Dealers,Lucknow,Chinhat,MS. IMPERIYAT BIOTECH,,E-1251 RAJAJIPURAM,For Free Alerts
16,Seed Dealers,Lucknow,Chinhat,MS. KARISAN SEEDS,,DALIGANJ FAIZABAD ROAD,For Free Alerts
17,Seed Dealers,Lucknow,Chinhat,MS. KHETI BARI SEEDS EVAM PESTICIDES,,HASANGANJ HARI MASJID KE SAAMNE FAIZABAD ROAD,For Free Alerts
18,Seed Dealers,Lucknow,Chinhat,MS. MANKAPUR SEEDS COMPANY PVT. LTD,,RANA COMPLEX OPPOSITE UMRAO DHARMSHALA DALIGANJ,For Free Alerts
19,Seed Dealers,Lucknow,Chinhat,MS. MAURYA BEEJ COMPANY,,TARKARI MANDI CHOWK,For Free Alerts
20,Seed Dealers,Lucknow,Chinhat,MS. N.N. AYURVEDIC AUSHDHIYA ASSOCIATE,,PANNALAL ROAD DALIGANJ,For Free Alerts
21,Seed Dealers,Lucknow,Chinhat,MS. NANITAL BEEJ FARM,,NABAB ALI MARKET DUBAGGA,For Free Alerts
22,Seed Dealers,Lucknow,Chinhat,MS. NARAYANI SALES CORPORATION,,356/154 ALAMNAGAR,For Free Alerts
23,Seed Dealers,Lucknow,Chinhat,MS. NATIONAL FEDERATION OF FARMS PROCURMENT PROCESSING AND RELAYING,,F-22 ADARSH MARG SARODAYNAGAR,For Free Alerts
