Center_Name,District,State,Email,Phone,Address,Region_District,Coordinates
Regional soil testing lab varanasi,VARANASI,UTTAR PRADESH,adstlab@gmail.com,+918765774352,"NH731B, Varanasi, Sadar, Varanasi, Uttar Pradesh, 221107, India",VARANASI,"25.30657716746371, 82.94934081230147"
"Ksetriya Bhumi Parikshan Prayogshala,Moradabad",MORADABAD,UTTAR PRADESH,stllabinchargembd@gmail.com,+918317010297,"Moradabad, Uttar Pradesh, 244001, India",MORADABAD,"28.8269901, 78.7581715"
Soil Testing Lab,BULANDSHAHR,UTTAR PRADESH,tchand.p@gmail.com,+918920853646,"Bulandshahr, बुलन्दशहर, Uttar Pradesh, 203001, India",BULANDSHAHR,", "
Soil Testing lab Sambhal,SAMBHAL,UTTAR PRADESH,stl659sambhal@gmail.com,+919457422038,"Sambhal, Uttar Pradesh, 244302, India",SAMBHAL,"28.585197, 78.570932"
DISTRICT SOIL TESTING LAB,JALAUN,UTTAR PRADESH,soiltestinglaborai@gmail.com,+919340862450,"Orai, Jalaun, Uttar Pradesh, India",JALAUN,"25.9979711792735, 79.45887042034285"
District Soil Testing Laboratory,BARABANKI,UTTAR PRADESH,anuraglko12@gmail.com,+917982142074,"NH927, Masauli, Nawabganj, Barabanki, Uttar Pradesh, 225203, India",BARABANKI,"26.992100351969267, 81.3114040168338"
Soil testing lab rampur,RAMPUR,UTTAR PRADESH,gajendrapalsingh5283@gmail.com,+918218775459,"Rampur, Rampur District, Uttar Pradesh, 244901, India",RAMPUR,"28.786911781250012, 79.01633002408758"
LAB_deoria,DEORIA,UTTAR PRADESH,smchaurasiya77@gmail.com,+918858298112,"UMA Nagar, Deoria, Uttar Pradesh, 274001, India",DEORIA,"26.497404911030046, 83.77447851612817"
REGIONAL SOIL TESTING LABORATORY ALAMBAGH LUCKNOW,LUCKNOW,UTTAR PRADESH,munendrata@gmail.com,+919838153951,"Charbagh, Lucknow, Uttar Pradesh, 226019, India",LUCKNOW,"26.82578154684776, 80.91636240336825"
Soil Testing Lab Raebareli,RAE BARELI,UTTAR PRADESH,sgovind1087@gmail.com,+918423251978,"रायबरेली, Raebareli, Uttar Pradesh, 229001, India",RAE BARELI,"26.1906345, 81.2577777"
